team,seed,score
alabama,1,27.4
corpus christi,16,0.4
maryland,8,18.4
wv,9,19.1
sdsu,5,20.2
charleston,12,11.8
virginia,4,16.2
furman,13,8.4
creighton,6,20.6
nc state,11,13.1
baylor,3,19.9
ucsb,14,6.7
missouri,7,13.8
utah state,10,18.8
arizona,2,22.6
princeton,15,5.6
purd,1,24.5
farleigh dickenson,16,-10.8
memph,8,18.9
fau,9,18.4
duke ,5,18.4
oral roberts,12,13.2
tenn,4,24.5
louisiana,13,8.1
ky,6,17.6
providence,11,14.8
ksu,3,18.2
montana state,14,5.9
michigan st,7,16.7
usc,10,15.4
marq,2,21.8
vermont,15,5.5
houston,1,29
northern ky,16,0.5
iowa,8,15.6
auburn,9,17.3
miami fl,5,14.8
drake,12,12.3
indiana,4,17.4
kent state,13,11.9
iowa st,6,18.3
pitt,11,11.3
xavier,3,19.7
kennesaw,14,3.1
texas a&m,7,18.1
penn st,10,15
texas,2,24.5
colgate,15,5.3
kansas,1,23.1
howard,16,-3.2
arkansas,8,18.5
illinois,9,16.5
st mary,2,21.9
vcu,12,13.2
Conn,4,25.3
iona,13,11.8
tcu,6,17.9
az state,11,12.1
gonz,3,24.3
grand canyon,14,5.9
northwestern ,7,14.8
boise st,10,17.1
UCLA,2,27.4
unc asheville,15,1.6
